,start time,end time,cumulative rainfall,rainfall duration,maximum 48-hour rainfall,rainfall in the previous 10 days,Wan San cumulative rainfall,flood peak,flood peak time,water level,rising flow
111,2017/9/18 3:00,2017/9/19 22:00,36,43,37.1,45,31,5057,2017/9/20 6:00,163.1,2177.951962
112,2017/9/23 6:00,2017/9/24 14:00,21,32,22.1,36,35,12921,2017/9/24 12:00,163.9,1508.860538
113,2017/9/26 18:00,2017/9/27 22:00,28,28,29,57,47,21576,2017/9/27 18:00,165.5,2734.014846
114,2017/9/29 9:00,2017/9/30 8:00,9,23,10.1,62,10,3988,2017/9/29 20:00,166.2,3563.109769
115,2017/10/1 5:00,2017/10/5 9:00,77,100,61.9,58,98,25066,2017/10/4 6:00,169.7,3115.971269
116,2017/10/10 19:00,2017/10/12 10:00,41,39,42.1,78,47,17994,2017/10/12 8:00,172.2,2061.490077
117,2017/10/13 6:00,2017/10/14 13:00,15,31,15.6,106,17,8130,2017/10/14 10:00,173.5,7293.085577
118,2017/10/16 22:00,2017/10/18 8:00,10,34,12.4,56,15,6636,2017/10/18 12:00,173.9,2614.841769
119,2017/11/10 8:00,2017/11/11 13:00,6,29,9.5,0,12,973,2017/11/10 18:00,174.1,207.9565
120,2018/3/4 2:00,2018/3/4 22:00,8,20,8.5,3,14,2678,2018/3/5 4:00,165,798.1233077
121,2018/3/6 0:00,2018/3/6 8:00,5,8,5.7,10,7,1627,2018/3/6 21:00,164.5,518.7585385
122,2018/3/18 6:00,2018/3/19 13:00,5,31,7.7,8,6,1641,2018/3/19 4:00,162.1,597.3077308
123,2018/3/31 8:00,2018/4/1 11:00,6,27,8.2,4,9,2261,2018/4/1 20:00,162,110.9813846
124,2018/4/5 3:00,2018/4/5 16:00,22,13,22.4,9,19,5410,2018/4/5 20:00,162.5,374.9048846
125,2018/4/12 21:00,2018/4/14 10:00,24,37,24.6,24,18,3512,2018/4/14 6:00,162.5,49.79088462
126,2018/4/20 12:00,2018/4/21 4:00,8,16,8.6,24,11,1645,2018/4/21 10:00,161.6,284.6324231
127,2018/4/21 20:00,2018/4/22 16:00,13,20,13.5,32,7,3302,2018/4/22 10:00,161.4,978.2943077
128,2018/4/23 8:00,2018/4/25 10:00,14,50,16.8,42,11,3062,2018/4/24 6:00,161.3,1028.854808
129,2018/4/30 16:00,2018/5/2 5:00,7,37,10.2,35,6,2353,2018/5/2 8:00,160.8,492.9804231
130,2018/5/4 15:00,2018/5/6 17:00,46,50,47.1,16,59,10694,2018/5/6 12:00,160,446.4216538
131,2018/5/17 16:00,2018/5/18 8:00,18,16,18.7,6,16,3258,2018/5/18 6:00,154.7,589.9248462
132,2018/5/22 1:00,2018/5/22 17:00,26,16,26.3,25,23,7241,2018/5/22 16:00,153,1283.184154
133,2018/5/30 10:00,2018/5/31 2:00,8,16,9.1,35,13,2875,2018/5/30 20:00,150.2,1796.418346
134,2018/6/11 15:00,2018/6/12 1:00,5,10,5.4,3,1,2235,2018/6/12 10:00,145.4,1041.951423
135,2018/6/18 11:00,2018/6/19 9:00,28,22,29.3,10,45,11701,2018/6/19 0:00,145.8,1101.088615
136,2018/6/30 2:00,2018/7/1 0:00,8,22,9.6,11,12,3319,2018/7/1 10:00,145.9,874.0342692
137,2018/7/3 9:00,2018/7/6 18:00,39,81,28.5,16,39,6985,2018/7/5 22:00,146.3,1265.712808
138,2018/7/25 15:00,2018/7/31 17:00,28,146,22.2,1,41,1178,2018/8/1 1:00,150.9,142.3644231
139,2018/8/9 15:00,2018/8/9 20:00,5,5,5.9,25,6,1020,2018/8/10 0:00,155.2,4.044307692
140,2018/8/21 22:00,2018/8/23 9:00,24,35,25,7,19,2416,2018/8/22 16:00,151.4,540.5696923
141,2018/9/5 17:00,2018/9/7 6:00,12,37,13.9,4,16,2179,2018/9/6 12:00,151.2,19.63092308
142,2018/9/20 4:00,2018/9/21 12:00,30,32,31.3,9,43,4615,2018/9/20 21:00,159.7,110.5935385
143,2018/9/24 7:00,2018/9/25 20:00,25,37,25.9,36,19,4492,2018/9/25 10:00,163.5,1247.745923
144,2018/10/18 20:00,2018/10/19 15:00,6,19,7.4,0,8,1551,2018/10/19 6:00,173.9,411.8371154
145,2018/11/4 23:00,2018/11/7 14:00,31,63,25,0,34,2832,2018/11/7 18:00,174.4,421.0018077
146,2019/1/30 10:00,2019/1/30 21:00,7,11,7.2,0,10,1657,2019/1/30 18:00,170.8,54.24261538
147,2019/3/21 2:00,2019/3/23 7:00,33,53,32.4,4,45,2611,2019/3/22 16:00,168.2,362.7625
148,2019/3/30 9:00,2019/3/31 3:00,13,18,14,34,17,1680,2019/3/31 10:00,165.9,248.739
149,2019/4/9 0:00,2019/4/9 10:00,14,10,15,14,23,2067,2019/4/9 18:00,162.8,92.31711538
150,2019/4/14 2:00,2019/4/14 10:00,13,8,13.7,18,10,1507,2019/4/14 20:00,161.1,700.8384231
151,2019/4/19 18:00,2019/4/21 4:00,18,34,19,17,15,2757,2019/4/21 12:00,159.9,553.5015769
152,2019/5/5 2:00,2019/5/7 10:00,22,56,19.6,6,29,1771,2019/5/7 12:00,157.4,266.4379231
153,2019/5/12 3:00,2019/5/13 8:00,12,29,13.6,23,7,2165,2019/5/12 10:00,156.4,454.7038846
