name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak,hydrological similarity,temporal similarity,spatial similarity,fusion similarity
36,0.0535,6,1487,224,1800,0.0535,0.446129,0.275755,308.81695835759376
86,0.0589,7,1911,224,1800,0.0589,0.433362,0.255569,330.0640659358362
90,0.0708,8,2079,224,1800,0.0708,0.425877,0.286857,372.57990805154515
121,0.0708,5,1627,224,1800,0.0708,0.4525,0.293471,379.22782775684686
103,0.0722,7,1866,224,1800,0.0722,0.492392,0.281575,397.85431253878767
186,0.0743,7,2166,224,1800,0.0743,0.482586,0.266184,405.75727204696074
31,0.0794,6,1843,224,1800,0.0794,0.451841,0.262761,418.44051003669847
78,0.0801,6,1354,224,1800,0.0801,0.468966,0.254686,427.24037518257705
27,0.0641,9,2110,225,2030,0.0641,0.45657,0.244249,359.4833072173639
60,0.0656,11,2371,225,2030,0.0656,0.494672,0.259892,374.32455979272606
188,0.0674,10,3159,225,2030,0.0674,0.476483,0.238049,379.4886506451095
30,0.0914,12,1381,225,2030,0.0914,0.463431,0.247127,473.0500121248067
120,0.0976,8,2678,225,2030,0.0976,0.493052,0.276245,502.9701180492207
84,0.1167,8,1771,225,2030,0.1167,0.485107,0.253682,582.1106709207776
85,0.1167,12,2205,225,2030,0.1167,0.423723,0.264071,563.3482891807594
136,0.117,8,3319,225,2030,0.117,0.471144,0.227728,582.866910858571
29,0.1177,7,1798,225,2030,0.1177,0.494422,0.255056,588.6655728804368
62,0.1238,15,3193,225,2030,0.1238,0.451609,0.280388,598.1848336729247
64,0.1138,29,3546,226,5160,0.1138,0.499034,0.252237,574.3467923194194
190,0.1501,29,3585,226,5160,0.1501,0.456605,0.278187,707.8011746244956
21,0.1608,30,10357,226,5160,0.1608,0.464291,0.222588,761.3255731347035
92,0.1749,27,8014,226,5160,0.1749,0.449414,0.257137,810.3392672464729
50,0.1832,29,1611,226,5160,0.1832,0.50105,0.233315,862.1970585209177
135,0.1886,28,11701,226,5160,0.1886,0.470595,0.291496,867.9410878108836
142,0.2256,30,4615,226,5160,0.2256,0.489344,0.249845,1030.6354560739085
157,0.2275,25,2783,226,5160,0.2275,0.459521,0.226359,1033.1376881199305
